Retorno,Varianza,Desviacion,Sharpe,COPEC,CTC-A,CAP,COLBUN,ENDESA,ENTEL
0.00028540618163961083,0.0002784265350771542,0.016686118034976088,0.017104408649235583,0.22783204345732697,0.5771966183001814,0.008692920555558226,0.0,0.035294199869765064,0.15098421781716845
-7.506920010922571e-05,0.00019112215822758734,0.013824693784224927,-0.005430080498049485,0.12453433162446198,0.10485616422078746,0.25729370427196285,0.21356762512686686,0.17453151640456802,0.12521665835135276
6.672238035005067e-05,0.00020539584544643121,0.014331637919178367,0.004655600478209392,0.12583896505005152,0.3128124143609817,0.11815171378228469,0.1777807966090616,0.1244392611944587,0.1409768490031617
0.00023152455290476975,0.0002497442697657458,0.01580329933165052,0.014650393442910822,0.25049004971230715,0.4707269303858815,0.02030951565760543,0.04691652735642148,0.04395222261871537,0.16760475426906918
0.00021776082672199116,0.00024383343749546663,0.015615166905783193,0.013945469045312723,0.2551778666716184,0.4471407477537344,0.018747414099129365,0.06654104259285377,0.04557311223177427,0.16681981665088969
8.440960226990524e-05,0.00020852414342247843,0.014440365072340741,0.005845392540080892,0.20190847310967738,0.2636536400298986,0.18350171855408143,0.05498667830939556,0.10290855935414596,0.19304093064280092
-6.67734599341047e-05,0.000191341361060083,0.013832619457647312,-0.004827246215986173,0.13535976048993564,0.1108173394776229,0.2596616174418081,0.19784143835866536,0.1725512213668453,0.12376862286512277
0.00012219489481704983,0.00021499014619930795,0.014662542282950388,0.008333813636066245,0.2084299308761991,0.2990354526947728,0.03452266960473984,0.12693432569291477,0.13157311236899197,0.19950450876238138
0.00019443159944377571,0.0002355819778681405,0.015348680004096133,0.012667643041088052,0.24822878942009902,0.41633954033599524,0.03717365074863901,0.07568736484498588,0.05831241329241282,0.16425824135786815
3.353710211362353e-05,0.0001981340619333664,0.014076010156765531,0.0023825716051720926,0.1408513531957102,0.2421883290120201,0.14302171508268333,0.18029036011126126,0.13742754517100456,0.1562206974273205
0.00017634274304959244,0.00022816653555592347,0.015105182407237705,0.01167432065998072,0.24511933278755266,0.35101454474620297,0.041283180275355755,0.06811395851260589,0.05538488654045605,0.23908409713782675
0.00010917668969545534,0.00021170154946704734,0.0145499673356007,0.007503569401721131,0.2342211759046938,0.2618618181712256,0.12413367474703085,0.07927534734720781,0.06512935727815222,0.23537862655168973
0.0002070370547768072,0.00023956667373275421,0.015477941521169868,0.01337626547390901,0.26226034381010443,0.4332721732951016,0.05656983905296785,0.06614473502234292,0.007038483315281453,0.1747144255042018
0.0002802745065452212,0.00027559756384655054,0.01660113140260478,0.016882855737244816,0.23279718778001904,0.5662095424793895,0.014286985928743631,0.0,0.03576640302550056,0.15093988078634732
0.00026882093862341084,0.0002662571459051816,0.016317387839515907,0.016474508130057783,0.26726719665946,0.5105789537242937,0.007173471278854573,0.0,0.04105039324140744,0.17392998509598412
0.0001789271397770095,0.00022908003904183026,0.015135390283763093,0.011821772443420803,0.24424256875580788,0.3561417714742865,0.044494067107891715,0.061854382842570374,0.05518678108761923,0.23808042873182433
0.00027386107668466385,0.00027178541668723493,0.016485915706664127,0.016611820754000372,0.23722718088333603,0.551712348508286,0.01778898384023118,0.0025252767123738053,0.03650073634680519,0.15424547370896774
-2.5261252077056942e-05,0.000194326052256454,0.013940087957271073,-0.0018121300349386112,0.07193448026241099,0.20766119416136095,0.27903994606071664,0.1413118794379882,0.14719282870492068,0.15285967137260237
2.1743898371402536e-07,0.00019469661086602764,0.013953372741600063,1.5583256302310402e-05,0.09612222891669087,0.2264378260221431,0.1853468817308681,0.19736494700804022,0.1409434957959774,0.15378462052628028
5.298619059876327e-05,0.00020236036244716246,0.014225342261160625,0.0037247743938949845,0.2159592219651599,0.2206358987765344,0.21132301218780797,0.08998386573864402,0.08038713687452584,0.18171086445732806
0.00021273015708951954,0.00024196423064133513,0.015555199472888,0.013675823152271269,0.2523524523095983,0.44181033526511326,0.018586476889976233,0.07418420083691642,0.04711800823477773,0.165948526463618
0.00015365198466061139,0.00022169462066155696,0.014889413039524324,0.010319546126683322,0.23841020875929955,0.33039070319446834,0.0808822632546997,0.07329463871087824,0.04550689580822734,0.23151529027242676
0.0001649688643222874,0.00022507979663501175,0.015002659652042092,0.010995974590400883,0.23098868974381126,0.3404984982333493,0.06021512586527353,0.06750287665614882,0.05271205323326299,0.2480827562681541
0.00025097861811815167,0.00025788441504266387,0.016058779998575978,0.015628747522564438,0.26910772335508193,0.4827252750722832,0.015810139422276926,0.014607011404460506,0.04437508318217883,0.17337476756371872
2.0764204584624635e-06,0.00019498189147408552,0.013963591639477486,0.00014870246223701243,0.09231303414946156,0.23031549352513225,0.1827249020912141,0.19701320008228193,0.14147277073135311,0.1561605994205571
-4.4532199228715854e-05,0.0001934246549423657,0.013907719257389607,-0.0032019771469757345,0.16591382156661522,0.13667561563476197,0.22469432107130305,0.20596601007353824,0.16990726909670112,0.0968429625570803
0.00013529453089976905,0.00021735949258341547,0.01474311678660301,0.009176792998256003,0.24285321037827687,0.2860993674578573,0.07520078836517476,0.08219606615770006,0.06752889944709951,0.24612166819389145
8.755280549376539e-05,0.00020899474802136018,0.014456650650180359,0.006056230285448109,0.20329085249937356,0.2692117883713138,0.1796719906547769,0.05590887689425384,0.10212823392919455,0.1897882576510872
0.000234982901151824,0.0002511961505931274,0.015849168766630235,0.0148261971723445,0.25218357902464955,0.47390945143066165,0.020446825543268092,0.040472859035524854,0.044249377645164054,0.16873790732073177
0.0002643378698032339,0.00026399073034761867,0.016247791552934775,0.016269156884615964,0.2672560088312672,0.5012050977140853,0.010748158800461939,0.0,0.042249984369668196,0.1785407502845174
0.0002763753583190304,0.00027247677718879304,0.016506870605562794,0.016743049904679827,0.24156672039181046,0.551682714740219,0.017235260426349777,0.00011092940424266408,0.03174935399032076,0.15765502104705714
0.0002386501500922468,0.00025371184020056277,0.015928334508057106,0.014982743485926243,0.25156953383676284,0.4812951425899601,0.027488156369479544,0.025883050447358245,0.050322621753147924,0.16344149500329136
0.00024721543918978953,0.0002566419425335361,0.01602004814392067,0.015431628979442455,0.26560808665373153,0.4814259823885253,0.023591908966532144,0.014658026251594763,0.043831753149612095,0.170884242590004
0.00025695352218031904,0.0002604281791394211,0.01613778730617742,0.015922475448784678,0.26686058040494437,0.49592768670975795,0.01415132735090025,0.015469984058085313,0.03485858495335132,0.17273183652296067
0.00018681970745095693,0.00023247703137727706,0.015247197492564889,0.012252724314881952,0.2529738565440395,0.3970044712624674,0.04850501080523695,0.0706320330404359,0.056684213523634265,0.17420041482418602
0.0001933621969797874,0.00023520851462479651,0.015336509205969804,0.012607966675005829,0.2481819541988286,0.41498952656419363,0.037998073899891814,0.07660935770835704,0.05821035460110575,0.164010733027623
3.1947682406122086e-05,0.00019796735551473363,0.014070087260380925,0.002270610111714201,0.14159614319574415,0.2401815318316123,0.14217168373080813,0.1844949185135848,0.13644824467725275,0.1551074780509978
0.00018681970745095693,0.00023247703137727706,0.015247197492564889,0.012252724314881952,0.2529738565440395,0.3970044712624674,0.04850501080523695,0.0706320330404359,0.056684213523634265,0.17420041482418602
2.0504180771895573e-05,0.00019649181227405767,0.014017553719321273,0.0014627502902759255,0.1283834371656492,0.23510881888951235,0.15922632960342537,0.19123791574640825,0.13252934393258894,0.153514154662416
1.998141633496032e-05,0.00019644372550086091,0.01401583838023473,0.0014256311890081656,0.1282677908429697,0.23452633891051738,0.15908290035819778,0.19233713598487173,0.13240996302480754,0.15337587087863588
-2.8904761670804214e-05,0.00019380744637238903,0.013921474288752216,-0.0020762715981997443,0.07514288556071642,0.19709662762363367,0.27177891610408533,0.1441977577484746,0.16020662063955746,0.15157719232353237
0.00010225491160883918,0.00020977616183677828,0.014483651536707802,0.007060022905803917,0.19946835385738856,0.27508454774899643,0.06250514923055037,0.13117176203170494,0.12684979418665288,0.20492039294470682
0.00025695352218031904,0.0002604281791394211,0.01613778730617742,0.015922475448784678,0.26686058040494437,0.49592768670975795,0.01415132735090025,0.015469984058085313,0.03485858495335132,0.17273183652296067
0.00011594471659435752,0.00021362174478352304,0.014615804623198924,0.007932831587685865,0.21086677496672557,0.28606789621458556,0.03559455152585841,0.13091437637860898,0.13488523066237967,0.2016711702518417
-4.1135283647846725e-05,0.00019369769910209826,0.013917532076560782,-0.002955644967912431,0.17203868296314107,0.1359589314021327,0.22559192357382174,0.19508211344258505,0.17379429413544806,0.09753405448287136
0.00028490684931939305,0.00027740839942391266,0.01665558162970938,0.017105788056731124,0.23854921246943692,0.5698812477814124,0.008801578523415515,0.0,0.031959074263040746,0.1508088869626943
0.00015348597799854532,0.00022166907511019548,0.014888555172017044,0.010308990780181368,0.23792702066311117,0.32972109740994404,0.08086151271621016,0.07314609181297556,0.04541466657667115,0.23292961082108807
0.00014554972936719254,0.0002195934838573869,0.014818686981557675,0.009822039533484565,0.23869051960103116,0.3102164279021277,0.07421118692810678,0.07858031979284279,0.05919627335512979,0.23910527242076174
4.905847258123015e-05,0.00020148598782645483,0.01419457600023526,0.0034561421616550615,0.19588120072812282,0.22603467785645986,0.21693540799880784,0.09230113896566326,0.08245727421022457,0.18639030024072156
0.00020717098704076513,0.00023960708010989864,0.015479246755249386,0.01338378994252472,0.26269443959508704,0.43316270118264777,0.05636938212108489,0.06603712606090345,0.007027032609803374,0.1747093184304735
